seed_iid,direction,title,year,doi,abstract,venue
d0c47271,forward,Sampling business process event logs using graph‐based ranking model,2020.0,10.1002/cpe.5974,"Modern information systems are continuously collecting and storing large volumes of business process event logs. The analysis of event logs can provide valuable insights for business process re‐engineering and enhancement. Process discovery, as one of the most challenging event log analysis techniques, aims to discover a business process model from an event log. Many process discovery approaches have been proposed in the past two decades, however, most of them suffer from efficiency problem when dealing with large‐scale event logs. Motivated by PageRank, we propose LogRank, a graph‐based ranking model, for event log sampling in this paper. The LogRank is capable of sampling a large‐scale event log to a smaller size that can be efficiently handled by existing discovery approaches. To support real‐life applications, we instantiate the LogRank model for two typical types of event logs, that is, simple event logs and lifecycle event logs. To quantify the quality of a sample log with respect to the original one, we introduce a general evaluation framework that can be instantiated for different quality metrics. The proposed sampling approach has been implemented in the open‐source process mining toolkit ProM. By experiments with both synthetic and real‐life event logs, we demonstrate that the proposed LogRank‐based sampling approach provides an effective means to improve process discovery efficiency as well as guaranteeing high quality of discovered models.",Concurrency and Computation
d0c47271,forward,Resource Conflict Checking and Resolution Controller Design for Cross-Organization Emergency Response Processes,2020.0,10.1109/TSMC.2019.2906335,"A group of geographically dispersed and logically collaborated emergency organizations are involved when emergency occurs. Two challenging issues are a reasonable emergency resource allocation mechanism and an efficient resource conflict checking and resolution control mechanism to ensure the conflict-free execution of global cross-organization emergency response processes. To address them, this paper proposes an approach to support emergency resource management including both intraorganization private resource management and cross-organization public resource management. The former has been fully discussed in our previous work using E-net. To cope with the latter, this paper presents a novel type of Petri net that is extended with both time and resource factors to model cross-organization emergency response processes. Then, according to the resource requirement analysis, their worst, delayed, and best cases are obtained. Next, emergency resource conflict checking and four conflict resolution strategies are proposed to resolve the detected resource conflicts for the delayed execution case. This paper shows how to use different resolution strategies to construct the conflict-free model by designing corresponding resolution controllers. Finally, their performance is evaluated by a fire emergency response example.","IEEE Transactions on Systems, Man, and Cybernetics: Systems"
d0c47271,forward,Hierarchical Business Process Discovery: Identifying Sub-processes Using Lifecycle Information,2020.0,10.1109/ICWS49710.2020.00062,"This paper aims to introduce a novel approach to discover hierarchical business process models from event logs with lifecycle information. To handle noise and infrequent behavior, we introduce the notion of nesting ratio to quantify the probability of nesting. All proposed approaches have been implemented in the open-source process mining toolkit ProM. The proposed approach is compared to existing process discovery techniques using both synthetic and real-life lifecycle event logs, and finally we show that our approach outperforms exiting approaches to discover hierarchical processes.",2020 IEEE International Conference on Web Services (ICWS)
d0c47271,forward,Privacy-Preserving Behavioral Correctness Verification of Cross-Organizational Workflow With Task Synchronization Patterns,2020.0,10.1109/tase.2020.2993376,"Workflow management technology has become a key means to improve enterprise productivity. More and more workflow systems are crossing organizational boundaries and may involve multiple interacting organizations. This article focuses on a type of loosely coupled workflow architecture with collaborative tasks, i.e., each business partner owns its private business process and is able to operate independently, and all involved organizations need to be synchronized at a certain point to complete certain public tasks. Because of each organization’s privacy consideration, they are unwilling to share the business details with others. In this way, traditional correctness verification approaches via reachability analysis are not practical as a global business process model is unavailable for privacy preservation. To ensure its globally correct execution, this work establishes a correctness verification approach for the cross-organizational workflow with task synchronization patterns. Its core idea is to use local correctness of each suborganizational workflow process to guarantee its global correctness. We prove that the proposed approach can be used to investigate the behavioral property preservation when synthesizing suborganizational workflows via collaborative tasks. A medical diagnosis running case is used to illustrate the applicability of the proposed approaches. Note to Practitioners—Cross-organizational workflow verification techniques play an increasingly important role in ensuring the correct execution of collaborative enterprise businesses. This work addresses the issue of correctness verification for loosely coupled interactive workflows with collaborative tasks. To ensure the globally correct execution, a behavioral correctness verification approach is established. All proposed concepts and techniques are supported by open-source tools, and evaluation over a medical diagnosis process case has shown their applicability. The proposed methodology is readily applicable to industrial-size workflow correctness verification problems.",IEEE Transactions on Automation Science and Engineering
d0c47271,forward,MOOC Video Personalized Classification Based on Cluster Analysis and Process Mining,2020.0,10.3390/su12073066,"In the teaching based on MOOC (Massive Open Online Courses) and flipped classroom, a teacher needs to understand the difficulty and importance of MOOC videos in real time for students at different knowledge levels. In this way, a teacher can be more focused on the different difficulties and key points contained in the videos for students in a flipped classroom. Thus, the personalized teaching can be implemented. We propose an approach of MOOC video personalized classification based on cluster analysis and process mining to help a teacher understand the difficulty and importance of MOOC videos for students at different knowledge levels. Specifically, students are first clustered based on their knowledge levels through question answering data. Then, we propose the process model of a group of students which reflects the overall video watching behavior of these students. Next, we propose to use the process mining technique to mine the process model of each student cluster by the video watching data of the involved students. Finally, we propose an approach to measure the difficulty and importance of a video based on a process model. With this approach, MOOC videos can be classified for students at different knowledge levels according to difficulty and importance. Therefore, a teacher can carry out a flipped classroom more efficiently. Experiments on a real data set show that the difficulty and importance of videos obtained by the proposed approach can reflect students’ subjective evaluation of the videos.",Sustainability
d0c47271,forward,Mining of Probabilistic Controlling Behavior Model From Dynamic Software Execution Trace,2019.0,10.1109/ACCESS.2019.2922998,"Complex functional integration leads to intricate logical control flows which in turn presents a great challenge to construct software behavior models. In this paper, we propose a probabilistic software behavior model by mining the execution traces using control flow analysis. To describe the interactions between software components, a semantic characterization method is developed. A tracing mechanism is designed to collect execution logs, based on which algorithms are developed to recognize detailed control relations. Moreover, dynamic behavioral frequencies are statistically estimated which provide quantitative data for behavior prediction. Finally, a multi-label enhanced software complex network model, which holds single or composite call relations and calling probabilities, is constructed with the purpose of profiling systematically and structurally. An illustrative example shows that the modeling approach can discover interactive patterns correctly and characterize software behavior scientifically. The method has been used in seven real-world projects, and results show that the proposed model is effective on discovering the complexities of software behavior and hence help to detect defects in software design and to improve performance.",IEEE Access
d0c47271,forward,Behavioral analysis of a digital twin using logging and model learning,2025.0,10.5381/jot.2025.24.2.a7,"Over the last few years, digital twins (DTs) have attracted increasing attention and uptake in both industry and academia. While several definitions exist for a DT, most of these focus on an exact virtual replica (often called the virtual entity (VE)) of a real-world object or process, which typically consists of several executable models interacting with each other. Furthermore, due to the connection and synchronization with their real-world physical counterpart, DTs evolve continuously across their lifecycle. Often, however, details of construction and internal structure of DTs are left un-or underspecified. Over time, both these factors (un(der)specification and real-time changes due to synchronization) might lead to misuse, undesirable behavior, or runtime issues, like errors, and performance problems. This hinders the (re)use of DTs and/or its components for the intended purpose or any other future purposes. In this paper, we propose a new approach that helps to overcome the above sketched issues. We do so, in a case-driven way, by addressing a DT of an autonomously driving truck, developed by several researchers over a longer period of time, and with input of several MSc and PhD students. As it turns out, this DT lacks overall complete documentation. We demonstrate how logging can be used to learn the actual runtime behavior of a DT and show how this behavior can differ from its intended behavior at design stage. We explore different passive model learning techniques, such as state merging and process mining, to automate the process of obtaining behavioral models of the DT. In addition, we showcase how the learned behavioral model of the DT can be analyzed further to detect underlying causes of perceived runtime issues in DTs.",Journal of Object Technology
d0c47271,forward,Predictive Modeling of Software Behavior Using Machine Learning,2024.0,10.1109/ACCESS.2024.3451012,"Predicting software behavior is crucial for verifying software properties and ensuring system reliability. Comprehending the behavior of complex software systems is particularly challenging because of characteristics such as concurrency and resource constraints, which lead to the interleaving of execution paths. Consequently, accurately predicting the behavior of such software may pose significant challenges. To address this challenge, we propose a Software Behavior Prediction (SBP) model that comprehensively captures and accurately predicts software behavior. By applying the machine learning concepts of Multi-label Classification (MLC) and Long Short-Term Memory (LSTM) networks, the SBP model enhances the accuracy and efficiency of identifying target states or software behaviors. Furthermore, we introduce a threshold determination method designed to improve the accuracy of MLC tasks. In practical applications, our SBP model can iteratively and thoroughly predict the states in the future moments of the execution paths, eliminating the need for analysis from the initial state of the software. This capability enables our approach to predict software behavior with higher accuracy and efficiency than the baseline models. The experimental results demonstrate the effectiveness of the SBP model in accurately predicting multiple concurrent behaviors within complex software systems. Additionally, the SBP model demonstrates improved resource efficiency compared to the baseline methods. These findings highlight the practical relevance and potential impact of the SBP model in real-world scenarios, offering promising avenues for enhancing software design techniques and improving system reliability.",IEEE Access
d0c47271,forward,Two Effective Strategies to Support Cross-Organization Emergency Resource Allocation Optimization,2021.0,10.1155/2021/7965935,"Cross-organization emergency resource allocation optimization problem is essential to guarantee a successful emergency disposal, and it has become a research focus of modern emergency management. Generally speaking, there are two possible types of resource allocation scenarios: (1) if the emergency resources are overallocated, on the one hand, parallel execution of independent emergency activities can be supported and the emergency disposal time is reduced; on the other hand, too many idle resources may cause low resource utilization rate, high scheduling overhead, and high cost; and (2) if emergency resources are underallocated, this may lead to resource conflicts and the need for some emergency activities to wait for others to complete, and finally the emergency disposal time may increase. 0erefore, reasonable emergency resource allocation strategies are highly desired. To the best of our knowledge, there is no formal approach to support the cross-organization emergency resource allocation issue. To handle this problem, we propose a two-layered framework to facilitate the allocation of limited emergency resources to meet its time constraints with high efficiency. More specifically, a kind of Petri net extended with time, resource, and message information, denoted as CE-net, is presented to model cross-organization emergency response processes. Based on the obtained CE-net, the minimum resource requirements are obtained with corresponding algorithms. 0en, Minimum Execution Time (MET) strategy and Minimum Resource Consumption (MRC) strategy with their corresponding estimated execution intervals are introduced to facilitate the stakeholder to determine which strategy is suitable according to the timing requirements. A cross-organization fire emergency case is applied to validate the proposed approaches throughout the whole paper.",Mobile Information Systems
d0c47271,forward,A Discovery Method for Hierarchical Software Execution Behavior Models Based on Components,2021.0,10.1155/2021/4788357,"Software is rapidly evolving and operates in a changing environment; therefore, in addition to software design and testing, it is essential to observe and understand the software execution behavior by modeling data recorded during the execution of the software to improve its reliability. *e nested call relationship between methods during the execution of software is common, but most process-mining methods are unable to discover them, only generating flat models with low fitness. Meanwhile, it is easy to generate “spaghetti-like” models with low comprehensibility when dealing with complex software execution data. *is paper proposes a component-based hierarchical software behavior model discovery method that can discover hierarchical nested call structures during software runtime, improving the fitness of the model; meanwhile, the proposed method partitions the discovery model into several parts by component information to improve the comprehensibility of the model, which can also reflect the interaction behavior within and between components. *e proposed approach was implemented in a process mining toolkit. Using real-life software event logs and public datasets, we demonstrated that compared with other advanced process mining techniques, our approach can visualize actual software execution behavior in a more accurate and easy-to-understand way while balancing time performance.",Scientific Programming
d0c47271,forward,Petri Net Based Data-Flow Error Detection and Correction Strategy for Business Processes,2020.0,10.1109/ACCESS.2020.2976124,"Conceptual modeling, which includes both control-flow and data-flow modeling, has posed great challenges for conventional business process management systems. To support systematic data-flow modeling and analysis, in this paper, we propose a novel and effective Petri net-based approach. We first introduce a new type of Petri net, called WFIO-net, the firing rule of which is formally defined by extending classical Petri net with read and write semantics, to model both the control-flow and data-flow information. Then, we discuss about three possible data-flow errors over a WFIO-net, i.e., the missing, redundant and conflicting data errors. To detect such data-flow errors, we develop a polynomial complexity algorithm based on the so-called Activity Data Incidence Matrix (ADIM) of a WFIO-net. Following by that, we propose three effective correction strategies to resolve the detected data-flow anomalies. Finally, we present a property loan approval business process case study for our approach, and the study results demonstrate that the proposed detection and correction approaches are indeed very effective and can be applied to real-life settings.",IEEE Access
d0c47271,forward,Mining Component-Based Software Behavioral Models Using Dynamic Analysis,2020.0,10.1109/ACCESS.2020.2987108,"A component-based software system is organized in terms of components, interfaces, and interactions among them. A component has one or more interfaces that each represents a clear function and interaction relationships with other components. Tremendous amounts of data are collected and recorded during the execution of software systems. This provides valuable information on software runtime analysis. Many crashes and exceptions may occur, and it is a real challenge to understand the real behavior of software systems. In this paper, we propose a novel approach to discover the behavioral model from execution data of a component-based software using dynamic analysis techniques. A software behavioral model contains: (1) the internal behavior of each component; and (2) the inter-component interaction behavior among different components. All proposed approaches have been implemented in the open-source process mining toolkit ProM. Through a software case study, we illustrate that the proposed approach facilitates the discovery of more precise behavioral models compared to existing approaches.",IEEE Access
d0c47271,forward,LogRank+: A Novel Approach to Support Business Process Event Log Sampling,2020.0,10.1007/978-3-030-62008-0_29,,WISE
d0c47271,forward,Research on Software Community Division Method Based on Inter-node Dependency,2020.0,10.1007/978-3-030-60799-9_38,,International Conference on Intelligent Computing
d0c47271,forward,A Logic Petri Net-Based Method for Repairing Process Models With Concurrent Blocks,2019.0,10.1109/ACCESS.2018.2890070,"Business processes are usually described and verified by the process models before they are implemented in the information systems. However, there exist deviations between the activities of a process model and those in event logs generated from the information systems. To replay the activities in the logs, the existing model needs to be repaired. In the current repair methods, the models with concurrent blocks cannot be simply repaired. Therefore, this paper proposes a new model repair approach based on logic Petri nets. Concurrent transition pairs and choice transition pairs are constructed based on process trees. By traversing optimal alignments, the transitions between the head and tail of concurrent blocks are determined, deviations are used to judge whether the activities in a process model and event logs have concurrent transition pairs or choice transition pairs, and the model is then repaired via logic Petri nets. Finally, the correctness and effectiveness of the proposed model repair method are illustrated by the experiments.",IEEE Access
d0c47271,forward,Process mining in programming game logs to differentiate between skill levels,2019.0,,,
d0c47271,forward,A Logic Petri Net-Based Model Repair Approach by Constructing Choice Bridges,2019.0,10.1109/ACCESS.2019.2896079,"Process models can be discovered from event logs generated by the enterprise information system. As business processes’ frequently changing, some activities in event logs may belong to different choice branches, while the actual model can only replay activities on the same choice branch. Thus, the model needs to be repaired to describe the business process accurately. For activities occurring in a choice structure, although the model repaired by the existing methods has good fitness, its structure may have changed a lot. This paper proposes a new model repair method based on logic Petri nets. First, we define a new event log type—choice deviation sub-log. Then, we find deviation positions according to the principle of token replaying. Next, we add bridges among choice branches to repair the model. We conduct experiments on some cases from cancer treatment processes in a hospital. The effectiveness and correctness of our method can be illustrated. The model repaired by our method is similar to the original one, and it has a higher precision compared with the existing model repair methods.",IEEE Access
d0c47271,forward,A Process Model Repair Approach by Constructing Choice Structures via Logic Petri Nets,2019.0,10.1109/ACCESS.2019.2956588,"Models of business processes can be discovered and improved by process mining techniques according to event logs generated by enterprise information systems. With the changing of business processes, some new activities that have choice relations with original activities appear in event logs, while the original model cannot replay them. Thus, a new process mining technique named model repair is developed. However, existing model repair methods cannot accurately find the positions where to add these new activities. This paper proposes a new model repair method based on logic Petri nets, which can add new activities as choice branches to the original model. First, two order sets for an event log and an original model are constructed by redefining order relations. Then the deviations related to new activities are collected. Next, the model is repaired by adding new activities as choice branches or constructing new choice structures. The correctness and effectiveness of the proposed method is illustrated by some case studies and experiments. The precision and simplicity of the repaired model is improved by our method comparing with other methods.",IEEE Access
f7a54d4c,backward,FlexInstru: A flexible instrumentation framework for tracing long-running native workloads,2026.0,10.1016/j.jss.2025.112739,,Journal of Systems and Software
f7a54d4c,backward,LLM-LADE: Large language model-based log anomaly detection with explanation,2025.0,10.1016/j.knosys.2025.114064,,Knowledge-Based Systems
f7a54d4c,backward,FaultFlow: An MDE Library for Dependability Evaluation of Component-Based Systems,2025.0,10.1109/TDSC.2025.3532340,"We present a Model Driven Engineering (MDE) approach to dependability evaluation of component-based coherent dyadic systems, implemented by the FaultFlow library, combining simple high-level modeling with powerful quantitative evaluation methods. In the functional perspective, distinctive features are: modeling of fault propagations within individual components and between different components, possibly not connected through physical or communication interfaces; support for non-Markovian distributions, both for the times to the occurrence of faults and for the duration of fault-to-failure propagations; derivation of the distribution of the time to the occurrence of a given failure; derivation of fault importance measures, for models where each fault does not propagate into multiple failures and, viceversa, each failure does not act as fault to multiple components, achieving evaluation efficiency even for significantly complex systems with hundreds of different faults. In the implementation perspective, distinctive features are: definition of a custom-made extensible metamodel to specify the system structure and failure logic; automated derivation of metamodel instances from Systems Modeling Language (SysML) Block Definition Diagrams (BDDs) and Stochastic Static Fault Trees (SSFTs); automated derivation of the mentioned dependability measures; open source availability. We illustrate the typical modeling and evaluation workflow with relevant uses cases, comparing functionalities with those of other dependability evaluation tools.",IEEE Transactions on Dependable and Secure Computing
f7a54d4c,backward,Exploring the Impact of Temperature on Large Language Models:Hot or Cold?,2025.0,10.48550/arXiv.2506.07295,"The sampling temperature, a critical hyperparameter in large language models (LLMs), modifies the logits before the softmax layer, thereby reshaping the distribution of output tokens. Recent studies have challenged the Stochastic Parrots analogy by demonstrating that LLMs are capable of understanding semantics rather than merely memorizing data and that randomness, modulated by sampling temperature, plays a crucial role in model inference. In this study, we systematically evaluated the impact of temperature in the range of 0 to 2 on data sets designed to assess six different capabilities, conducting statistical analyses on open source models of three different sizes: small (1B--4B), medium (6B--13B), and large (40B--80B). Our findings reveal distinct skill-specific effects of temperature on model performance, highlighting the complexity of optimal temperature selection in practical applications. To address this challenge, we propose a BERT-based temperature selector that takes advantage of these observed effects to identify the optimal temperature for a given prompt. We demonstrate that this approach can significantly improve the performance of small and medium models in the SuperGLUE datasets. Furthermore, our study extends to FP16 precision inference, revealing that temperature effects are consistent with those observed in 4-bit quantized models. By evaluating temperature effects up to 4.0 in three quantized models, we find that the Mutation Temperature -- the point at which significant performance changes occur -- increases with model size.",Procedia Computer Science
f7a54d4c,backward,Chasing Unknown Unknowns with the Available Data,2025.0,10.1007/s41060-025-00796-x,,International Journal of Data Science and Analysis
f7a54d4c,backward,Control-flow anomaly detection by process mining-based feature extraction and dimensionality reduction,2025.0,10.1016/j.knosys.2025.112970,"The business processes of organizations may deviate from normal control flow due to disruptive anomalies, including unknown, skipped, and wrongly-ordered activities. To identify these control-flow anomalies, process mining can check control-flow correctness against a reference process model through conformance checking, an explainable set of algorithms that allows linking any deviations with model elements. However, the effectiveness of conformance checking-based techniques is negatively affected by noisy event data and low-quality process models. To address these shortcomings and support the development of competitive and explainable conformance checking-based techniques for control-flow anomaly detection, we propose a novel process mining-based feature extraction approach with alignment-based conformance checking. This variant aligns the deviating control flow with a reference process model; the resulting alignment can be inspected to extract additional statistics such as the number of times a given activity caused mismatches. We integrate this approach into a flexible and explainable framework for developing techniques for control-flow anomaly detection. The framework combines process mining-based feature extraction and dimensionality reduction to handle high-dimensional feature sets, achieve detection effectiveness, and support explainability. The results show that the framework techniques implementing our approach outperform the baseline conformance checking-based techniques while maintaining the explainable nature of conformance checking. We also provide an explanation of why existing conformance checking-based techniques may be ineffective.",Knowledge-Based Systems
f7a54d4c,backward,Exploiting Assumptions for Effective Monitoring of Real-Time Properties under Partial Observability,2024.0,10.48550/arXiv.2409.05456,"Runtime verification of temporal properties is essential for ensuring the correctness and reliability of real-time systems, particularly in cyber-physical systems. A significant challenge in this domain is the effective prediction of property failure or success, especially when dealing with partially observable systems. This paper addresses these challenges by developing an Assumption-Based Runtime Verification (ABRV) approach for a continuous real-time setting. Our method exploits assumptions about the system's behavior, specified as Timed Automata, to enable monitors to predict future outcomes and handle unobservable system parts, such as internal faults. Properties to be monitored are specified using Metric Interval Temporal Logic (MITL). The approach also includes formalizing observations with data and time uncertainty using sequences of timed constraints. We present a zone-based online algorithm for computing the monitoring verdict, implemented on top of the UPPAAL tool. Experimental evaluation on proof-of-concept cases demonstrates the approach's feasibility and effectiveness, illustrating how assumptions facilitate earlier verdicts, enable monitoring of properties dependent on unobservable events, and provide insights into scalability.",IEEE International Conference on Software Engineering and Formal Methods
f7a54d4c,backward,WAKE: A Weakly Supervised Business Process Anomaly Detection Framework via a Pre-Trained Autoencoder,2024.0,10.1109/TKDE.2023.3322411,"The ability to detect anomalies in business processes is crucial for achieving success in business operations. While unsupervised anomaly detection approaches have gained popularity in recent years due to their label-free nature, in some cases, a limited number of labelled anomalies can be provided and using them can improve the performance of anomaly detection. To address this issue, we propose a novel framework for anomaly detection that uses a pre-trained autoencoder to extract feature representations of traces. An anomaly score generator based on a multi-layer perceptron is utilized to evaluate the extracted features. The entire framework is trained using a joint loss that ensures the generated anomaly scores satisfy a specific distribution without compromising the autoencoder's ability to reconstruct normal traces. The feature encoder is fine-tuned to provide insights into the cause of anomalies. Additionally, we design a novel technique for calculating anomaly scores to mitigate the effects of varying numbers of potential attribute values. We conduct extensive experiments on both synthetic and real-life logs, and our results demonstrate that our proposed method, WAKE, outperforms state-of-the-art unsupervised deep business process anomaly detection methods by a significant margin. Additionally, it outperforms other weakly supervised anomaly detection methods as well.",IEEE Transactions on Knowledge and Data Engineering
